,name,sequence,view,x,y,name2
40,LM,0,flatmap,18.525928669700512,22.514036582354407,LM
41,LM,0,flatmap,18.496403695472384,22.493388156562403,LM
42,LM,0,flatmap,18.467172697091225,22.47436098796791,LM
43,LM,0,flatmap,18.441216881932558,22.458627868991872,LM
44,LM,0,flatmap,18.35954421984691,22.506790842064433,LM
45,LM,0,flatmap,18.35835564022061,22.507491756263992,LM
46,LM,0,flatmap,18.354835150104087,22.509580220782414,LM
47,LM,0,flatmap,18.34905062264086,22.513034818499328,LM
48,LM,0,flatmap,18.341069930974488,22.51783413229438,LM
49,LM,0,flatmap,18.330960948248507,22.523956745047183,LM
50,LM,0,flatmap,18.318791547606466,22.531381239637376,LM
51,LM,0,flatmap,18.30462960219189,22.540086198944568,LM
52,LM,0,flatmap,18.288542985148357,22.550050205848446,LM
53,LM,0,flatmap,18.270599569619367,22.56125184322857,LM
54,LM,0,flatmap,18.250867228748504,22.573669693964625,LM
55,LM,0,flatmap,18.229413835679267,22.587282340936213,LM
56,LM,0,flatmap,18.20630726355524,22.602068367022987,LM
57,LM,0,flatmap,18.181615385519933,22.61800635510455,LM
58,LM,0,flatmap,18.155406074716915,22.63507488806055,LM
59,LM,0,flatmap,18.127747204289708,22.65325254877061,LM
60,LM,0,flatmap,18.098706647381864,22.672517920114366,LM
61,LM,0,flatmap,18.06835227713692,22.692849584971448,LM
62,LM,0,flatmap,18.03675196669843,22.71422612622149,LM
63,LM,0,flatmap,18.003973589209927,22.73662612674411,LM
64,LM,0,flatmap,17.970085017814945,22.76002816941895,LM
65,LM,0,flatmap,17.935154125657046,22.784410837125634,LM
66,LM,0,flatmap,17.899248785879763,22.8097527127438,LM
67,LM,0,flatmap,17.862436871626638,22.83603237915308,LM
68,LM,0,flatmap,17.824786256041214,22.86322841923309,LM
69,LM,0,flatmap,17.78636481226704,22.89131941586348,LM
70,LM,0,flatmap,17.74724041344764,22.92028395192386,LM
71,LM,0,flatmap,17.70748093272658,22.950100610293873,LM
72,LM,0,flatmap,17.66715424324739,22.98074797385315,LM
73,LM,0,flatmap,17.626328218153606,23.01220462548132,LM
74,LM,0,flatmap,17.585070730588786,23.044449148058014,LM
75,LM,0,flatmap,17.553276876303727,23.069297429249573,LM
76,LM,0,flatmap,17.549608530003184,23.089088263308295,LM
77,LM,0,flatmap,17.544487691557947,23.116850826202803,LM
78,LM,0,flatmap,17.539198306960444,23.145606400311493,LM
79,LM,0,flatmap,17.533762867322842,23.17518185345893,LM
80,LM,0,flatmap,17.52820386375723,23.20540405346965,LM
81,LM,0,flatmap,17.522543787375778,23.23609986816818,LM
82,LM,0,flatmap,17.51680512929059,23.267096165379066,LM
83,LM,0,flatmap,17.511010380613808,23.29821981292685,LM
84,LM,0,flatmap,17.505182032457558,23.329297678636074,LM
85,LM,0,flatmap,17.499342575933973,23.360156630331268,LM
86,LM,0,flatmap,17.49351450215518,23.390623535836983,LM
87,LM,0,flatmap,17.487720302233313,23.420525262977737,LM
88,LM,0,flatmap,17.4819824672805,23.449688679578102,LM
89,LM,0,flatmap,17.47632348840887,23.4779406534626,LM
90,LM,0,flatmap,17.470765856730562,23.505108052455764,LM
91,LM,0,flatmap,17.465332063357685,23.531017744382137,LM
92,LM,0,flatmap,17.460044599402394,23.555496597066263,LM
93,LM,0,flatmap,17.454925955976805,23.57837147833269,LM
94,LM,0,flatmap,17.44999862419305,23.599469256005946,LM
95,LM,0,flatmap,17.44528509516326,23.618616797910565,LM
96,LM,0,flatmap,17.440807859999563,23.635640971871098,LM
97,LM,0,flatmap,17.4365894098141,23.650368645712085,LM
98,LM,0,flatmap,17.429356106875325,23.67562193110593,LM
99,LM,0,flatmap,17.431721169788705,23.67647370092075,LM
100,LM,3,flatmap,17.447821226188548,23.68227208453491,LM
101,ILA,1,flatmap,9.163929211488183,26.99350283889193,ILA
102,ILA,0,flatmap,9.178527498500726,27.0188549405581,ILA
103,ILA,0,flatmap,9.193274093933779,27.043060275501123,ILA
104,ILA,0,flatmap,9.208464867273175,27.066590328325308,ILA
105,ILA,0,flatmap,9.224148163826868,27.0894638586094,ILA
106,ILA,0,flatmap,9.240372328902797,27.111699625932086,ILA
107,ILA,0,flatmap,9.25718570780892,27.13331638987209,ILA
108,ILA,0,flatmap,9.274636645853183,27.15433291000813,ILA
109,ILA,0,flatmap,9.292773488343537,27.174767945918923,ILA
110,ILA,0,flatmap,9.311644580587929,27.194640257183156,ILA
111,ILA,0,flatmap,9.331298267894317,27.21396860337957,ILA
112,ILA,0,flatmap,9.351782895570636,27.23277174408685,ILA
113,ILA,0,flatmap,9.37314680892485,27.251068438883753,ILA
114,ILA,0,flatmap,9.3954383532649,27.26887744734894,ILA
115,ILA,0,flatmap,9.41870587389874,27.28621752906117,ILA
116,ILA,0,flatmap,9.442997716134316,27.30310744359912,ILA
117,ILA,0,flatmap,9.468362225279575,27.31956595054153,ILA
118,ILA,0,flatmap,9.494847746642476,27.335611809467093,ILA
119,ILA,0,flatmap,9.52250262553096,27.351263779954532,ILA
120,ILA,0,flatmap,9.551375207252981,27.366540621582555,ILA
121,ILA,0,flatmap,9.581513837116484,27.38146109392988,ILA
122,ILA,0,flatmap,9.61296686042942,27.396043956575213,ILA
123,ILA,0,flatmap,9.64578262249974,27.410307969097282,ILA
124,ILA,0,flatmap,9.684304167009644,27.42403036443861,ILA
125,ILA,0,flatmap,9.732336229975349,27.43698980230453,ILA
126,ILA,0,flatmap,9.789119695205848,27.44920718241791,ILA
127,ILA,0,flatmap,9.85389544651012,27.46070340450164,ILA
128,ILA,0,flatmap,9.925904367697157,27.471499368278593,ILA
129,ILA,0,flatmap,10.00438734257594,27.48161597347164,ILA
130,ILA,0,flatmap,10.088585254955458,27.49107411980367,ILA
131,ILA,0,flatmap,10.177738988644698,27.499894706997555,ILA
132,ILA,0,flatmap,10.271089427452646,27.508098634776182,ILA
133,ILA,0,flatmap,10.367877455188287,27.51570680286243,ILA
134,ILA,0,flatmap,10.46734395566061,27.52274011097917,ILA
135,ILA,0,flatmap,10.568729812678598,27.529219458849287,ILA
136,ILA,0,flatmap,10.67127591005124,27.535165746195645,ILA
137,ILA,0,flatmap,10.774223131587515,27.540599872741147,ILA
138,ILA,0,flatmap,10.876812361096418,27.545542738208646,ILA
139,ILA,0,flatmap,10.978284482386934,27.55001524232105,ILA
140,ILA,0,flatmap,11.077880379268043,27.5540382848012,ILA
141,ILA,0,flatmap,11.174840935548742,27.55763276537202,ILA
142,ILA,0,flatmap,11.268407035038008,27.56081958375634,ILA
143,ILA,0,flatmap,11.357819561544833,27.56361963967709,ILA
144,ILA,0,flatmap,11.442319398878196,27.566053832857104,ILA
145,ILA,0,flatmap,11.521147430847089,27.568143063019303,ILA
146,ILA,0,flatmap,11.593544541260496,27.56990822988652,ILA
147,ILA,0,flatmap,11.658751613927409,27.57137023318167,ILA
148,ILA,0,flatmap,11.716009532656805,27.572549972627613,ILA
149,ILA,0,flatmap,11.764559181257678,27.573468347947227,ILA
